,Sex,Age,Pclass,SibSp,Parch,Fare,Cabin_First_Letter,Survived,Bin_Age
543,male,32.0,2,1,0,26.0,N,1,30s
544,male,50.0,1,1,0,106.425,C,0,50s
545,male,64.0,1,0,0,26.0,N,0,60s
546,female,19.0,2,1,0,26.0,N,1,10s
547,male,0.0,2,0,0,13.8625,N,1,<10s
548,male,33.0,3,1,1,20.525,N,0,30s
549,male,8.0,2,1,1,36.75,N,1,<10s
550,male,17.0,1,0,2,110.8833,C,1,10s
551,male,27.0,2,0,0,26.0,N,0,20s
552,male,0.0,3,0,0,7.8292,N,0,<10s
553,male,22.0,3,0,0,7.225,N,1,20s
554,female,22.0,3,0,0,7.775,N,1,20s
555,male,62.0,1,0,0,26.55,N,0,60s
556,female,48.0,1,1,0,39.6,A,1,40s
557,male,0.0,1,0,0,227.525,N,0,<10s
558,female,39.0,1,1,1,79.65,E,1,30s
559,female,36.0,3,1,0,17.4,N,1,30s
560,male,0.0,3,0,0,7.75,N,0,<10s
561,male,40.0,3,0,0,7.8958,N,0,40s
562,male,28.0,2,0,0,13.5,N,0,20s
563,male,0.0,3,0,0,8.05,N,0,<10s
564,female,0.0,3,0,0,8.05,N,0,<10s
565,male,24.0,3,2,0,24.15,N,0,20s
566,male,19.0,3,0,0,7.8958,N,0,10s
567,female,29.0,3,0,4,21.075,N,0,20s
568,male,0.0,3,0,0,7.2292,N,0,<10s
569,male,32.0,3,0,0,7.8542,N,1,30s
570,male,62.0,2,0,0,10.5,N,1,60s
571,female,53.0,1,2,0,51.4792,C,1,50s
572,male,36.0,1,0,0,26.3875,E,1,30s
573,female,0.0,3,0,0,7.75,N,1,<10s
574,male,16.0,3,0,0,8.05,N,0,10s
575,male,19.0,3,0,0,14.5,N,0,10s
576,female,34.0,2,0,0,13.0,N,1,30s
577,female,39.0,1,1,0,55.9,E,1,30s
578,female,0.0,3,1,0,14.4583,N,0,<10s
579,male,32.0,3,0,0,7.925,N,1,30s
580,female,25.0,2,1,1,30.0,N,1,20s
581,female,39.0,1,1,1,110.8833,C,1,30s
582,male,54.0,2,0,0,26.0,N,0,50s
583,male,36.0,1,0,0,40.125,A,0,30s
584,male,0.0,3,0,0,8.7125,N,0,<10s
585,female,18.0,1,0,2,79.65,E,1,10s
586,male,47.0,2,0,0,15.0,N,0,40s
587,male,60.0,1,1,1,79.2,B,1,60s
588,male,22.0,3,0,0,8.05,N,0,20s
589,male,0.0,3,0,0,8.05,N,0,<10s
590,male,35.0,3,0,0,7.125,N,0,30s
591,female,52.0,1,1,0,78.2667,D,1,50s
592,male,47.0,3,0,0,7.25,N,0,40s
593,female,0.0,3,0,2,7.75,N,0,<10s
594,male,37.0,2,1,0,26.0,N,0,30s
595,male,36.0,3,1,1,24.15,N,0,30s
596,female,0.0,2,0,0,33.0,N,1,<10s
597,male,49.0,3,0,0,0.0,N,0,40s
598,male,0.0,3,0,0,7.225,N,0,<10s
599,male,49.0,1,1,0,56.9292,A,1,40s
600,female,24.0,2,2,1,27.0,N,1,20s
601,male,0.0,3,0,0,7.8958,N,0,<10s
602,male,0.0,1,0,0,42.4,N,0,<10s
603,male,44.0,3,0,0,8.05,N,0,40s
604,male,35.0,1,0,0,26.55,N,1,30s
605,male,36.0,3,1,0,15.55,N,0,30s
606,male,30.0,3,0,0,7.8958,N,0,30s
607,male,27.0,1,0,0,30.5,N,1,20s
608,female,22.0,2,1,2,41.5792,N,1,20s
609,female,40.0,1,0,0,153.4625,C,1,40s
610,female,39.0,3,1,5,31.275,N,0,30s
611,male,0.0,3,0,0,7.05,N,0,<10s
612,female,0.0,3,1,0,15.5,N,1,<10s
613,male,0.0,3,0,0,7.75,N,0,<10s
614,male,35.0,3,0,0,8.05,N,0,30s
615,female,24.0,2,1,2,65.0,N,1,20s
616,male,34.0,3,1,1,14.4,N,0,30s
617,female,26.0,3,1,0,16.1,N,0,20s
618,female,4.0,2,2,1,39.0,F,1,<10s
619,male,26.0,2,0,0,10.5,N,0,20s
620,male,27.0,3,1,0,14.4542,N,0,20s
621,male,42.0,1,1,0,52.5542,D,1,40s
622,male,20.0,3,1,1,15.7417,N,1,20s
623,male,21.0,3,0,0,7.8542,N,0,20s
624,male,21.0,3,0,0,16.1,N,0,20s
625,male,61.0,1,0,0,32.3208,D,0,60s
626,male,57.0,2,0,0,12.35,N,0,50s
627,female,21.0,1,0,0,77.9583,D,1,20s
628,male,26.0,3,0,0,7.8958,N,0,20s
629,male,0.0,3,0,0,7.7333,N,0,<10s
630,male,80.0,1,0,0,30.0,A,1,80s
631,male,51.0,3,0,0,7.0542,N,0,50s
632,male,32.0,1,0,0,30.5,B,1,30s
633,male,0.0,1,0,0,0.0,N,0,<10s
634,female,9.0,3,3,2,27.9,N,0,<10s
635,female,28.0,2,0,0,13.0,N,1,20s
636,male,32.0,3,0,0,7.925,N,0,30s
637,male,31.0,2,1,1,26.25,N,0,30s
638,female,41.0,3,0,5,39.6875,N,0,40s
639,male,0.0,3,1,0,16.1,N,0,<10s
640,male,20.0,3,0,0,7.8542,N,0,20s
641,female,24.0,1,0,0,69.3,B,1,20s
642,female,2.0,3,3,2,27.9,N,0,<10s
643,male,0.0,3,0,0,56.4958,N,1,<10s
644,female,0.75,3,2,1,19.2583,N,1,<10s
645,male,48.0,1,1,0,76.7292,D,1,40s
646,male,19.0,3,0,0,7.8958,N,0,10s
647,male,56.0,1,0,0,35.5,A,1,50s
648,male,0.0,3,0,0,7.55,N,0,<10s
649,female,23.0,3,0,0,7.55,N,1,20s
650,male,0.0,3,0,0,7.8958,N,0,<10s
651,female,18.0,2,0,1,23.0,N,1,10s
652,male,21.0,3,0,0,8.4333,N,0,20s
653,female,0.0,3,0,0,7.8292,N,1,<10s
654,female,18.0,3,0,0,6.75,N,0,10s
655,male,24.0,2,2,0,73.5,N,0,20s
656,male,0.0,3,0,0,7.8958,N,0,<10s
657,female,32.0,3,1,1,15.5,N,0,30s
658,male,23.0,2,0,0,13.0,N,0,20s
659,male,58.0,1,0,2,113.275,D,0,50s
660,male,50.0,1,2,0,133.65,N,1,50s
661,male,40.0,3,0,0,7.225,N,0,40s
662,male,47.0,1,0,0,25.5875,E,0,40s
663,male,36.0,3,0,0,7.4958,N,0,30s
664,male,20.0,3,1,0,7.925,N,1,20s
665,male,32.0,2,2,0,73.5,N,0,30s
666,male,25.0,2,0,0,13.0,N,0,20s
667,male,0.0,3,0,0,7.775,N,0,<10s
668,male,43.0,3,0,0,8.05,N,0,40s
669,female,0.0,1,1,0,52.0,C,1,<10s
670,female,40.0,2,1,1,39.0,N,1,40s
671,male,31.0,1,1,0,52.0,B,0,30s
672,male,70.0,2,0,0,10.5,N,0,70s
673,male,31.0,2,0,0,13.0,N,1,30s
674,male,0.0,2,0,0,0.0,N,0,<10s
675,male,18.0,3,0,0,7.775,N,0,10s
676,male,24.5,3,0,0,8.05,N,0,20s
677,female,18.0,3,0,0,9.8417,N,1,10s
678,female,43.0,3,1,6,46.9,N,0,40s
679,male,36.0,1,0,1,512.3292,B,1,30s
680,female,0.0,3,0,0,8.1375,N,0,<10s
681,male,27.0,1,0,0,76.7292,D,1,20s
682,male,20.0,3,0,0,9.225,N,0,20s
683,male,14.0,3,5,2,46.9,N,0,10s
684,male,60.0,2,1,1,39.0,N,0,60s
685,male,25.0,2,1,2,41.5792,N,0,20s
686,male,14.0,3,4,1,39.6875,N,0,10s
687,male,19.0,3,0,0,10.1708,N,0,10s
688,male,18.0,3,0,0,7.7958,N,0,10s
689,female,15.0,1,0,1,211.3375,B,1,10s
690,male,31.0,1,1,0,57.0,B,1,30s
691,female,4.0,3,0,1,13.4167,N,1,<10s
692,male,0.0,3,0,0,56.4958,N,1,<10s
693,male,25.0,3,0,0,7.225,N,0,20s
694,male,60.0,1,0,0,26.55,N,0,60s
695,male,52.0,2,0,0,13.5,N,0,50s
696,male,44.0,3,0,0,8.05,N,0,40s
697,female,0.0,3,0,0,7.7333,N,1,<10s
698,male,49.0,1,1,1,110.8833,C,0,40s
699,male,42.0,3,0,0,7.65,F,0,40s
700,female,18.0,1,1,0,227.525,C,1,10s
701,male,35.0,1,0,0,26.2875,E,1,30s
702,female,18.0,3,0,1,14.4542,N,0,10s
703,male,25.0,3,0,0,7.7417,N,0,20s
704,male,26.0,3,1,0,7.8542,N,0,20s
705,male,39.0,2,0,0,26.0,N,0,30s
706,female,45.0,2,0,0,13.5,N,1,40s
707,male,42.0,1,0,0,26.2875,E,1,40s
708,female,22.0,1,0,0,151.55,N,1,20s
709,male,0.0,3,1,1,15.2458,N,1,<10s
710,female,24.0,1,0,0,49.5042,C,1,20s
711,male,0.0,1,0,0,26.55,C,0,<10s
712,male,48.0,1,1,0,52.0,C,1,40s
713,male,29.0,3,0,0,9.4833,N,0,20s
714,male,52.0,2,0,0,13.0,N,0,50s
715,male,19.0,3,0,0,7.65,F,0,10s
716,female,38.0,1,0,0,227.525,C,1,30s
717,female,27.0,2,0,0,10.5,E,1,20s
718,male,0.0,3,0,0,15.5,N,0,<10s
719,male,33.0,3,0,0,7.775,N,0,30s
720,female,6.0,2,0,1,33.0,N,1,<10s
721,male,17.0,3,1,0,7.0542,N,0,10s
722,male,34.0,2,0,0,13.0,N,0,30s
723,male,50.0,2,0,0,13.0,N,0,50s
724,male,27.0,1,1,0,53.1,E,1,20s
725,male,20.0,3,0,0,8.6625,N,0,20s
726,female,30.0,2,3,0,21.0,N,1,30s
727,female,0.0,3,0,0,7.7375,N,1,<10s
728,male,25.0,2,1,0,26.0,N,0,20s
729,female,25.0,3,1,0,7.925,N,0,20s
730,female,29.0,1,0,0,211.3375,B,1,20s
731,male,11.0,3,0,0,18.7875,N,0,10s
732,male,0.0,2,0,0,0.0,N,0,<10s
733,male,23.0,2,0,0,13.0,N,0,20s
734,male,23.0,2,0,0,13.0,N,0,20s
735,male,28.5,3,0,0,16.1,N,0,20s
736,female,48.0,3,1,3,34.375,N,0,40s
737,male,35.0,1,0,0,512.3292,B,1,30s
738,male,0.0,3,0,0,7.8958,N,0,<10s
739,male,0.0,3,0,0,7.8958,N,0,<10s
740,male,0.0,1,0,0,30.0,D,1,<10s
741,male,36.0,1,1,0,78.85,C,0,30s
742,female,21.0,1,2,2,262.375,B,1,20s
743,male,24.0,3,1,0,16.1,N,0,20s
744,male,31.0,3,0,0,7.925,N,1,30s
745,male,70.0,1,1,1,71.0,B,0,70s
746,male,16.0,3,1,1,20.25,N,0,10s
747,female,30.0,2,0,0,13.0,N,1,30s
748,male,19.0,1,1,0,53.1,D,0,10s
749,male,31.0,3,0,0,7.75,N,0,30s
750,female,4.0,2,1,1,23.0,N,1,<10s
751,male,6.0,3,0,1,12.475,E,1,<10s
752,male,33.0,3,0,0,9.5,N,0,30s
753,male,23.0,3,0,0,7.8958,N,0,20s
754,female,48.0,2,1,2,65.0,N,1,40s
755,male,0.67,2,1,1,14.5,N,1,<10s
756,male,28.0,3,0,0,7.7958,N,0,20s
757,male,18.0,2,0,0,11.5,N,0,10s
758,male,34.0,3,0,0,8.05,N,0,30s
759,female,33.0,1,0,0,86.5,B,1,30s
760,male,0.0,3,0,0,14.5,N,0,<10s
761,male,41.0,3,0,0,7.125,N,0,40s
762,male,20.0,3,0,0,7.2292,N,1,20s
763,female,36.0,1,1,2,120.0,B,1,30s
764,male,16.0,3,0,0,7.775,N,0,10s
765,female,51.0,1,1,0,77.9583,D,1,50s
766,male,0.0,1,0,0,39.6,N,0,<10s
767,female,30.5,3,0,0,7.75,N,0,30s
768,male,0.0,3,1,0,24.15,N,0,<10s
769,male,32.0,3,0,0,8.3625,N,0,30s
770,male,24.0,3,0,0,9.5,N,0,20s
771,male,48.0,3,0,0,7.8542,N,0,40s
772,female,57.0,2,0,0,10.5,E,0,50s
773,male,0.0,3,0,0,7.225,N,0,<10s
774,female,54.0,2,1,3,23.0,N,1,50s
775,male,18.0,3,0,0,7.75,N,0,10s
776,male,0.0,3,0,0,7.75,F,0,<10s
777,female,5.0,3,0,0,12.475,N,1,<10s
778,male,0.0,3,0,0,7.7375,N,0,<10s
779,female,43.0,1,0,1,211.3375,B,1,40s
780,female,13.0,3,0,0,7.2292,N,1,10s
781,female,17.0,1,1,0,57.0,B,1,10s
782,male,29.0,1,0,0,30.0,D,0,20s
783,male,0.0,3,1,2,23.45,N,0,<10s
784,male,25.0,3,0,0,7.05,N,0,20s
785,male,25.0,3,0,0,7.25,N,0,20s
786,female,18.0,3,0,0,7.4958,N,1,10s
787,male,8.0,3,4,1,29.125,N,0,<10s
788,male,1.0,3,1,2,20.575,N,1,<10s
789,male,46.0,1,0,0,79.2,B,0,40s
790,male,0.0,3,0,0,7.75,N,0,<10s
791,male,16.0,2,0,0,26.0,N,0,10s
792,female,0.0,3,8,2,69.55,N,0,<10s
793,male,0.0,1,0,0,30.6958,N,0,<10s
794,male,25.0,3,0,0,7.8958,N,0,20s
795,male,39.0,2,0,0,13.0,N,0,30s
796,female,49.0,1,0,0,25.9292,D,1,40s
797,female,31.0,3,0,0,8.6833,N,1,30s
798,male,30.0,3,0,0,7.2292,N,0,30s
799,female,30.0,3,1,1,24.15,N,0,30s
800,male,34.0,2,0,0,13.0,N,0,30s
801,female,31.0,2,1,1,26.25,N,1,30s
802,male,11.0,1,1,2,120.0,B,1,10s
803,male,0.42,3,0,1,8.5167,N,1,<10s
804,male,27.0,3,0,0,6.975,N,1,20s
805,male,31.0,3,0,0,7.775,N,0,30s
806,male,39.0,1,0,0,0.0,A,0,30s
807,female,18.0,3,0,0,7.775,N,0,10s
808,male,39.0,2,0,0,13.0,N,0,30s
809,female,33.0,1,1,0,53.1,E,1,30s
810,male,26.0,3,0,0,7.8875,N,0,20s
811,male,39.0,3,0,0,24.15,N,0,30s
812,male,35.0,2,0,0,10.5,N,0,30s
813,female,6.0,3,4,2,31.275,N,0,<10s
814,male,30.5,3,0,0,8.05,N,0,30s
815,male,0.0,1,0,0,0.0,B,0,<10s
816,female,23.0,3,0,0,7.925,N,0,20s
817,male,31.0,2,1,1,37.0042,N,0,30s
818,male,43.0,3,0,0,6.45,N,0,40s
819,male,10.0,3,3,2,27.9,N,0,10s
820,female,52.0,1,1,1,93.5,B,1,50s
821,male,27.0,3,0,0,8.6625,N,1,20s
822,male,38.0,1,0,0,0.0,N,0,30s
823,female,27.0,3,0,1,12.475,E,1,20s
824,male,2.0,3,4,1,39.6875,N,0,<10s
825,male,0.0,3,0,0,6.95,N,0,<10s
826,male,0.0,3,0,0,56.4958,N,0,<10s
827,male,1.0,2,0,2,37.0042,N,1,<10s
828,male,0.0,3,0,0,7.75,N,1,<10s
829,female,62.0,1,0,0,80.0,B,1,60s
830,female,15.0,3,1,0,14.4542,N,1,10s
831,male,0.83,2,1,1,18.75,N,1,<10s
832,male,0.0,3,0,0,7.2292,N,0,<10s
833,male,23.0,3,0,0,7.8542,N,0,20s
834,male,18.0,3,0,0,8.3,N,0,10s
835,female,39.0,1,1,1,83.1583,E,1,30s
836,male,21.0,3,0,0,8.6625,N,0,20s
837,male,0.0,3,0,0,8.05,N,0,<10s
838,male,32.0,3,0,0,56.4958,N,1,30s
839,male,0.0,1,0,0,29.7,C,1,<10s
840,male,20.0,3,0,0,7.925,N,0,20s
841,male,16.0,2,0,0,10.5,N,0,10s
842,female,30.0,1,0,0,31.0,N,1,30s
843,male,34.5,3,0,0,6.4375,N,0,30s
844,male,17.0,3,0,0,8.6625,N,0,10s
845,male,42.0,3,0,0,7.55,N,0,40s
846,male,0.0,3,8,2,69.55,N,0,<10s
847,male,35.0,3,0,0,7.8958,N,0,30s
848,male,28.0,2,0,1,33.0,N,0,20s
849,female,0.0,1,1,0,89.1042,C,1,<10s
850,male,4.0,3,4,2,31.275,N,0,<10s
851,male,74.0,3,0,0,7.775,N,0,70s
852,female,9.0,3,1,1,15.2458,N,0,<10s
853,female,16.0,1,0,1,39.4,D,1,10s
854,female,44.0,2,1,0,26.0,N,0,40s
855,female,18.0,3,0,1,9.35,N,1,10s
856,female,45.0,1,1,1,164.8667,N,1,40s
857,male,51.0,1,0,0,26.55,E,1,50s
858,female,24.0,3,0,3,19.2583,N,1,20s
859,male,0.0,3,0,0,7.2292,N,0,<10s
860,male,41.0,3,2,0,14.1083,N,0,40s
861,male,21.0,2,1,0,11.5,N,0,20s
862,female,48.0,1,0,0,25.9292,D,1,40s
863,female,0.0,3,8,2,69.55,N,0,<10s
864,male,24.0,2,0,0,13.0,N,0,20s
865,female,42.0,2,0,0,13.0,N,1,40s
866,female,27.0,2,1,0,13.8583,N,1,20s
867,male,31.0,1,0,0,50.4958,A,0,30s
868,male,0.0,3,0,0,9.5,N,0,<10s
869,male,4.0,3,1,1,11.1333,N,1,<10s
870,male,26.0,3,0,0,7.8958,N,0,20s
871,female,47.0,1,1,1,52.5542,D,1,40s
872,male,33.0,1,0,0,5.0,B,0,30s
873,male,47.0,3,0,0,9.0,N,0,40s
874,female,28.0,2,1,0,24.0,N,1,20s
875,female,15.0,3,0,0,7.225,N,1,10s
876,male,20.0,3,0,0,9.8458,N,0,20s
877,male,19.0,3,0,0,7.8958,N,0,10s
878,male,0.0,3,0,0,7.8958,N,0,<10s
879,female,56.0,1,0,1,83.1583,C,1,50s
880,female,25.0,2,0,1,26.0,N,1,20s
881,male,33.0,3,0,0,7.8958,N,0,30s
882,female,22.0,3,0,0,10.5167,N,0,20s
883,male,28.0,2,0,0,10.5,N,0,20s
884,male,25.0,3,0,0,7.05,N,0,20s
885,female,39.0,3,0,5,29.125,N,0,30s
886,male,27.0,2,0,0,13.0,N,0,20s
887,female,19.0,1,0,0,30.0,B,1,10s
888,female,0.0,3,1,2,23.45,N,0,<10s
889,male,26.0,1,0,0,30.0,C,1,20s
890,male,32.0,3,0,0,7.75,N,0,30s
